DateTime,Body Fat,Fasting
01/01/2020 06:30,27.2,
02/01/2020 06:30,26.0,
03/01/2020 06:30,26.6,
04/01/2020 06:30,26.3,
05/01/2020 06:30,26.7,
06/01/2020 06:30,26.6,
07/01/2020 06:30,26.3,
08/01/2020 06:30,26.8,
09/01/2020 06:30,27.2,
10/01/2020 06:30,26.5,
11/01/2020 06:30,26.9,
12/01/2020 06:30,26.2,
13/01/2020 06:30,26.3,
14/01/2020 06:30,26.8,
15/01/2020 06:30,27.2,
16/01/2020 06:30,26.8,
17/01/2020 06:30,26.6,
18/01/2020 06:30,26.7,
19/01/2020 06:30,26.3,
20/01/2020 06:30,26.9,
21/01/2020 06:30,27.0,
22/01/2020 06:30,26.6,
23/01/2020 06:30,26.6,
24/01/2020 06:30,26.8,
25/01/2020 06:30,26.6,
26/01/2020 06:30,26.7,
27/01/2020 06:30,27.5,
28/01/2020 06:30,26.7,
29/01/2020 06:30,26.7,
30/01/2020 06:30,26.6,
31/01/2020 06:30,27.1,
01/02/2020 06:30,26.7,
02/02/2020 06:30,26.6,
03/02/2020 06:30,27.3,
04/02/2020 06:30,27.3,
05/02/2020 06:30,26.6,
06/02/2020 06:30,26.2,
07/02/2020 06:30,27.2,
08/02/2020 06:30,26.6,
09/02/2020 06:30,27.1,
10/02/2020 06:30,26.2,
11/02/2020 06:30,27.2,
12/02/2020 06:30,26.4,
13/02/2020 06:30,27.1,
14/02/2020 06:30,26.9,
15/02/2020 06:30,26.5,
16/02/2020 06:30,26.7,
17/02/2020 06:30,27.1,
18/02/2020 06:30,26.9,
19/02/2020 06:30,27.1,
20/02/2020 06:30,27.5,
21/02/2020 06:30,26.3,
22/02/2020 06:30,27.4,
23/02/2020 06:30,26.9,
24/02/2020 06:30,26.5,
25/02/2020 06:30,26.4,
26/02/2020 06:30,26.8,
27/02/2020 06:30,27.1,
28/02/2020 06:30,26.8,
29/02/2020 06:30,27.3,
01/03/2020 06:30,26.3,
02/03/2020 06:30,26.8,
03/03/2020 06:30,26.3,
04/03/2020 06:30,26.9,
05/03/2020 06:30,27.1,
06/03/2020 06:30,26.6,
07/03/2020 06:30,25.8,
08/03/2020 06:30,26.8,
09/03/2020 06:30,26.9,
10/03/2020 06:30,26.8,
11/03/2020 06:30,27.1,
12/03/2020 06:30,26.3,
13/03/2020 06:30,26.9,
14/03/2020 06:30,27.1,
15/03/2020 06:30,26.0,
16/03/2020 06:30,26.7,
17/03/2020 06:30,26.4,
18/03/2020 06:30,26.6,
19/03/2020 06:30,26.7,
20/03/2020 06:30,26.4,
21/03/2020 06:30,26.3,
22/03/2020 06:30,26.5,
23/03/2020 06:30,26.1,
24/03/2020 06:30,26.1,
25/03/2020 06:30,26.7,
26/03/2020 06:30,26.1,
27/03/2020 06:30,26.7,
28/03/2020 06:30,26.6,
29/03/2020 06:30,25.8,
30/03/2020 06:30,26.1,
31/03/2020 06:30,26.8,
01/04/2020 06:30,26.0,
02/04/2020 06:30,26.2,
