DateTime,Heart Rate,Fasting
01/01/2020 00:00,66,
02/01/2020 00:00,67,
03/01/2020 00:00,66,
04/01/2020 00:00,65,
05/01/2020 00:00,69,
06/01/2020 00:00,70,
07/01/2020 00:00,70,
08/01/2020 00:00,70,
09/01/2020 00:00,69,
10/01/2020 00:00,67,
11/01/2020 00:00,71,
12/01/2020 00:00,65,
13/01/2020 00:00,66,
14/01/2020 00:00,66,
15/01/2020 00:00,71,
16/01/2020 00:00,71,
17/01/2020 00:00,70,
18/01/2020 00:00,72,
19/01/2020 00:00,67,
20/01/2020 00:00,70,
21/01/2020 00:00,69,
22/01/2020 00:00,71,
23/01/2020 00:00,69,
24/01/2020 00:00,68,
25/01/2020 00:00,71,
26/01/2020 00:00,71,
27/01/2020 00:00,68,
28/01/2020 00:00,69,
29/01/2020 00:00,67,
30/01/2020 00:00,63,
31/01/2020 00:00,70,
01/02/2020 00:00,71,
02/02/2020 00:00,70,
03/02/2020 00:00,65,
04/02/2020 00:00,69,
05/02/2020 00:00,64,
06/02/2020 00:00,73,
07/02/2020 00:00,67,
08/02/2020 00:00,73,
09/02/2020 00:00,72,
10/02/2020 00:00,68,
11/02/2020 00:00,67,
12/02/2020 00:00,71,
13/02/2020 00:00,68,
14/02/2020 00:00,70,
15/02/2020 00:00,69,
16/02/2020 00:00,66,
17/02/2020 00:00,65,
18/02/2020 00:00,71,
19/02/2020 00:00,69,
20/02/2020 00:00,69,
21/02/2020 00:00,72,
22/02/2020 00:00,73,
23/02/2020 00:00,70,
24/02/2020 00:00,69,
25/02/2020 00:00,72,
26/02/2020 00:00,67,
27/02/2020 00:00,71,
28/02/2020 00:00,72,
29/02/2020 00:00,72,
01/03/2020 00:00,66,
02/03/2020 00:00,69,
03/03/2020 00:00,68,
04/03/2020 00:00,71,
05/03/2020 00:00,72,
06/03/2020 00:00,74,
07/03/2020 00:00,69,
08/03/2020 00:00,69,
09/03/2020 00:00,73,
10/03/2020 00:00,71,
11/03/2020 00:00,74,
12/03/2020 00:00,71,
13/03/2020 00:00,68,
14/03/2020 00:00,67,
15/03/2020 00:00,67,
16/03/2020 00:00,72,
17/03/2020 00:00,73,
18/03/2020 00:00,75,
19/03/2020 00:00,73,
20/03/2020 00:00,73,
21/03/2020 00:00,69,
22/03/2020 00:00,68,
23/03/2020 00:00,73,
24/03/2020 00:00,71,
25/03/2020 00:00,71,
26/03/2020 00:00,71,
27/03/2020 00:00,71,
28/03/2020 00:00,74,
29/03/2020 00:00,74,
30/03/2020 00:00,72,
31/03/2020 00:00,72,
01/04/2020 00:00,72,
02/04/2020 00:00,69,
03/04/2020 00:00,72,
04/04/2020 00:00,67,
05/04/2020 00:00,73,
06/04/2020 00:00,67,
07/04/2020 00:00,71,
08/04/2020 00:00,68,
09/04/2020 00:00,71,
10/04/2020 00:00,70,
11/04/2020 00:00,66,
12/04/2020 00:00,71,
13/04/2020 00:00,68,
